date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:26:13	9604/9604	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:18%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/8.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/8.png	(from http://zwin.io/html/viaje/blog-details.html)
12:26:24	267232/267232	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:12%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/1.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/1.png	(from http://zwin.io/html/viaje/blog-details.html)
12:26:26	77254/77254	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:01:41%20GMT	http://zwin.io/html/viaje/assets/img/others/11.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/others/11.png	(from http://zwin.io/html/viaje/contact.html)
12:26:41	228230/228230	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2014:00:18%20GMT	http://zwin.io/html/viaje/assets/img/blog-details/7.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/blog-details/7.png	(from http://zwin.io/html/viaje/blog-details.html)
12:26:50	563073/563073	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:43%20GMT	http://zwin.io/html/viaje/assets/img/bg/1.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/bg/1.png	(from http://zwin.io/html/viaje/tour-details.html)
12:26:53	447534/447534	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:51%20GMT	http://zwin.io/html/viaje/assets/img/bg/5.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/bg/5.png	(from http://zwin.io/html/viaje/assets/css/style.css)
12:27:04	781249/781249	---M--	200	added ('OK')	image/png	date:Wed,%2004%20Mar%202020%2013:59:47%20GMT	http://zwin.io/html/viaje/assets/img/bg/12.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/bg/12.png	(from http://zwin.io/html/viaje/comming-soon.html)
12:27:07	772321/772321	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:32%20GMT	http://zwin.io/html/viaje/assets/img/banner/4.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/banner/4.png	(from http://zwin.io/html/viaje/home03.html)
12:27:16	717637/717637	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:44%20GMT	http://zwin.io/html/viaje/assets/img/bg/10.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/bg/10.png	(from http://zwin.io/html/viaje/home03.html)
12:27:18	605676/605676	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:38%20GMT	http://zwin.io/html/viaje/assets/img/banner/8.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/banner/8.png	(from http://zwin.io/html/viaje/home04.html)
12:27:31	851765/851765	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:39%20GMT	http://zwin.io/html/viaje/assets/img/banner/9.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/banner/9.png	(from http://zwin.io/html/viaje/home04.html)
12:27:35	295301/295301	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:32%20GMT	http://zwin.io/html/viaje/assets/img/banner/5.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/banner/5.png	(from http://zwin.io/html/viaje/home05.html)
12:27:37	485709/485709	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2013:59:29%20GMT	http://zwin.io/html/viaje/assets/img/banner/10.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/banner/10.png	(from http://zwin.io/html/viaje/home04.html)
12:27:38	328433/328433	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2014:00:40%20GMT	http://zwin.io/html/viaje/assets/img/destination-list/21.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/destination-list/21.png	(from http://zwin.io/html/viaje/destination-list02.html)
12:27:42	324749/324749	UR-M--	200	added ('Partial%20Content')	image/png	date:Wed,%2004%20Mar%202020%2014:01:50%20GMT	http://zwin.io/html/viaje/assets/img/others/4.png	D:/project/Travelss/zwin.io/html/viaje/assets/img/others/4.png	(from http://zwin.io/html/viaje/destination-details.html)
